입국자국가,국가코드,입국연월,입국자 수
미국,275,202301,49120
미국,275,202302,46204
미국,275,202303,86430
미국,275,202305,101915
미국,275,202306,121378
미국,275,202307,104823
미국,275,202308,83250
미국,275,202309,96925
미국,275,202310,115763
미국,275,202311,93498
미국,275,202312,78291
